seller_id,delivered_orders,late_deliveries,late_delivery_rate,missed_handovers,missed_handover_rate,reviewed_orders,low_reviews,low_review_rate,all_orders,non_receipt_reports,delivery_record_discrepancies,no_recorded_delivery_reports,expected_late_orders,excess_late_orders,non_receipt_report_rate_pct,late_delivery_rate_pct,missed_handover_rate_pct,low_review_rate_pct
4a3ca9315b744ce9f8e9374361493884,1673,168,0.100418410041841,151,0.09025702331141662,1655,281,0.16978851963746225,1707,29,10,2,114.58663361136205,53.413366388637954,1.698886936145284,10.0418410041841,9.025702331141662,16.978851963746227
06a2c3af7b3aee5d69171b0e14f0ee87,388,74,0.19072164948453607,121,0.3118556701030928,384,61,0.15885416666666666,391,6,0,0,26.574784125049895,47.425215874950105,1.5345268542199488,19.072164948453608,31.185567010309278,15.885416666666666
4869f7a5dfa277a7dca6462dcf3b52b2,1111,118,0.10621062106210621,62,0.0558055805580558,1103,135,0.12239347234814144,1119,9,2,0,76.0942916570372,41.9057083429628,0.8042895442359249,10.621062106210621,5.5805580558055805,12.239347234814144
1f50f920176fa81dab994f9023523100,1364,124,0.09090909090909091,149,0.1092375366568915,1359,175,0.1287711552612215,1369,11,1,1,93.42269470764964,30.57730529235036,0.8035062089116143,9.090909090909092,10.92375366568915,12.877115526122148
8160255418d5aaa7dbdc9f4c64ebda44,355,51,0.14366197183098592,90,0.2535211267605634,351,51,0.1452991452991453,360,2,0,1,24.314557640187406,26.685442359812594,0.5555555555555556,14.366197183098592,25.352112676056336,14.529914529914532
7d13fca15225358621be4086e1eb0964,548,64,0.11678832116788321,83,0.15145985401459855,545,89,0.163302752293578,555,6,2,0,37.53345799104985,26.46654200895015,1.0810810810810811,11.678832116788321,15.145985401459855,16.3302752293578
88460e8ebdecbfecb5f9601833981930,227,42,0.18502202643171806,116,0.5110132158590308,226,64,0.2831858407079646,229,3,1,0,15.547618547387438,26.452381452612563,1.3100436681222707,18.502202643171806,51.10132158590308,28.31858407079646
7c67e1448b00f6e969d365cea6b010ab,963,89,0.09241952232606439,288,0.29906542056074764,957,240,0.2507836990595611,972,10,3,0,65.95751833098724,23.04248166901276,1.02880658436214,9.241952232606438,29.906542056074763,25.07836990595611
ea8482cd71df3c1969d7b9473ff13abc,1116,96,0.08602150537634409,87,0.07795698924731183,1110,154,0.13873873873873874,1130,8,5,1,76.4367502153497,19.563249784650296,0.7079646017699115,8.60215053763441,7.795698924731183,13.873873873873874
e5a3438891c0bfdb9394643f95273d8e,213,34,0.1596244131455399,38,0.1784037558685446,212,36,0.16981132075471697,221,5,0,0,14.588734584112443,19.411265415887556,2.262443438914027,15.96244131455399,17.84037558685446,16.9811320754717
855668e0971d4dfd7bef1b6a4133b41b,296,38,0.12837837837837837,55,0.1858108108108108,292,58,0.19863013698630136,308,4,0,1,20.27354665209992,17.72645334790008,1.2987012987012987,12.837837837837837,18.58108108108108,19.863013698630137
1835b56ce799e6a4dc4eddc053f04066,375,43,0.11466666666666667,10,0.02666666666666667,372,77,0.20698924731182797,381,7,3,0,25.6843918734374,17.3156081265626,1.837270341207349,11.466666666666667,2.666666666666667,20.698924731182796
8b321bb669392f5163d04c59e235e066,917,80,0.08724100327153762,44,0.04798255179934569,913,123,0.13472070098576122,930,7,1,0,62.80689959451225,17.193100405487748,0.7526881720430108,8.724100327153762,4.79825517993457,13.472070098576122
54965bbe3e4f07ae045b90b0b8541f52,72,22,0.3055555555555556,39,0.5416666666666666,68,27,0.39705882352941174,77,2,0,0,4.93140323969998,17.068596760300018,2.5974025974025974,30.555555555555557,54.166666666666664,39.705882352941174
f7ba60f8c3f99e7ee4042fdef03b70c4,213,30,0.14084507042253522,2,0.009389671361502348,213,20,0.09389671361502347,214,1,0,0,14.588734584112443,15.411265415887557,0.46728971962616817,14.084507042253522,0.9389671361502347,9.389671361502346
a49928bcdf77c55c6d6e05e09a9b4ca5,93,21,0.22580645161290322,53,0.5698924731182796,93,36,0.3870967741935484,95,2,1,0,6.369729184612475,14.630270815387526,2.1052631578947367,22.58064516129032,56.98924731182796,38.70967741935484
fa1c13f2614d7b5c4749cbc52fecda94,566,53,0.09363957597173145,46,0.0812720848056537,562,51,0.09074733096085409,573,3,0,0,38.76630880097485,14.233691199025152,0.5235602094240838,9.363957597173144,8.12720848056537,9.07473309608541
620c87c171fb2a6dd6e8bb4dec959fc6,717,63,0.08786610878661087,54,0.07531380753138076,711,78,0.10970464135021098,735,5,3,1,49.10855726201231,13.891442737987688,0.6802721088435374,8.786610878661087,7.531380753138076,10.970464135021098
1025f0e2d44d7041d6cf58b6550e0bfa,879,72,0.08191126279863481,161,0.1831626848691695,872,140,0.16055045871559634,884,10,7,0,60.204214551337266,11.795785448662734,1.1312217194570136,8.19112627986348,18.31626848691695,16.055045871559635
897060da8b9a21f655304d50fd935913,298,32,0.10738255033557047,20,0.06711409395973154,295,67,0.2271186440677966,311,3,2,0,20.41053007542492,11.58946992457508,0.964630225080386,10.738255033557047,6.7114093959731544,22.71186440677966
ede0c03645598cdfc63ca8237acbe73d,43,14,0.32558139534883723,8,0.18604651162790697,42,12,0.2857142857142857,46,0,0,0,2.9451436014874885,11.054856398512511,0.0,32.55813953488372,18.6046511627907,28.57142857142857
1ca7077d890b907f89be8c954a02686a,106,18,0.16981132075471697,55,0.5188679245283019,105,63,0.6,113,2,0,1,7.2601214362249715,10.73987856377503,1.7699115044247788,16.9811320754717,51.886792452830186,60.0
712e6ed8aa4aa1fa65dab41fed5737e4,77,16,0.2077922077922078,15,0.19480519480519481,76,27,0.35526315789473684,79,2,1,0,5.273861798012479,10.72613820198752,2.5316455696202533,20.77922077922078,19.480519480519483,35.526315789473685
beadbee30901a7f61d031b6b686095ad,63,15,0.23809523809523808,18,0.2857142857142857,63,11,0.1746031746031746,63,2,1,0,4.314977834737483,10.685022165262517,3.1746031746031744,23.809523809523807,28.57142857142857,17.46031746031746
cd68562d3f44870c08922d380acae552,122,19,0.1557377049180328,18,0.14754098360655737,121,20,0.1652892561983471,125,1,1,0,8.355988822824967,10.644011177175033,0.8,15.573770491803279,14.754098360655737,16.528925619834713
2c9e548be18521d1c43cde1c582c6de8,123,19,0.15447154471544716,3,0.024390243902439025,121,16,0.1322314049586777,125,2,0,0,8.424480534487467,10.575519465512533,1.6,15.447154471544716,2.4390243902439024,13.223140495867769
7aa4334be125fcdd2ba64b3180029f14,211,25,0.11848341232227488,77,0.36492890995260663,210,29,0.1380952380952381,214,2,0,0,14.451751160787444,10.548248839212556,0.9345794392523363,11.848341232227488,36.492890995260666,13.80952380952381
2a1348e9addc1af5aaa619b1a3679d6b,45,13,0.28888888888888886,20,0.4444444444444444,44,15,0.3409090909090909,49,1,0,0,3.082127024812488,9.917872975187512,2.0408163265306123,28.888888888888886,44.44444444444444,34.090909090909086
c3867b4666c7d76867627c2f7fb22e21,221,25,0.11312217194570136,10,0.04524886877828054,220,34,0.15454545454545454,238,2,0,0,15.136668277412442,9.863331722587558,0.8403361344537815,11.312217194570136,4.524886877828054,15.454545454545453
ad781527c93d00d89a11eecd9dcad7c1,33,12,0.36363636363636365,18,0.5454545454545454,33,11,0.3333333333333333,39,2,0,1,2.2602264848624913,9.739773515137509,5.128205128205128,36.36363636363637,54.54545454545454,33.33333333333333
7ad32824caee82087b3e2e5f33b1bf32,140,19,0.1357142857142857,5,0.03571428571428571,137,25,0.18248175182481752,144,2,0,0,9.588839632749963,9.411160367250037,1.3888888888888888,13.571428571428571,3.571428571428571,18.248175182481752
b499c00f28f4b7069ff6550af8c1348a,141,19,0.1347517730496454,27,0.19148936170212766,141,13,0.09219858156028368,146,7,3,1,9.657331344412462,9.342668655587538,4.794520547945205,13.47517730496454,19.148936170212767,9.219858156028367
d20b021d3efdf267a402c402a48ea64b,73,14,0.1917808219178082,15,0.2054794520547945,72,12,0.16666666666666666,77,1,1,0,4.999894951362481,9.000105048637518,1.2987012987012987,19.17808219178082,20.54794520547945,16.666666666666664
4e922959ae960d389249c378d1c939f5,411,37,0.09002433090024331,45,0.10948905109489052,407,73,0.17936117936117937,419,5,2,1,28.15009349328739,8.84990650671261,1.1933174224343674,9.002433090024331,10.948905109489052,17.936117936117938
77530e9772f57a62c906e1c21538ab82,297,29,0.09764309764309764,5,0.016835016835016835,297,39,0.13131313131313133,305,3,1,0,20.34203836376242,8.65796163623758,0.9836065573770493,9.764309764309765,1.6835016835016834,13.131313131313133
8f2ce03f928b567e3d56181ae20ae952,151,19,0.12582781456953643,8,0.052980132450331126,150,18,0.12,153,3,0,1,10.34224846103746,8.65775153896254,1.9607843137254901,12.582781456953644,5.298013245033113,12.0
391fc6631aebcf3004804e51b40bcf1e,490,42,0.08571428571428572,30,0.061224489795918366,488,65,0.13319672131147542,495,7,1,0,33.56093871462487,8.439061285375132,1.4141414141414141,8.571428571428571,6.122448979591836,13.319672131147541
1900267e848ceeba8fa32d80c1a5f5a8,359,33,0.09192200557103064,20,0.055710306406685235,354,57,0.16101694915254236,364,2,0,0,24.588524486837404,8.411475513162596,0.5494505494505495,9.192200557103064,5.571030640668524,16.101694915254235
2eb70248d66e0e3ef83659f71b244378,185,21,0.11351351351351352,60,0.32432432432432434,182,87,0.47802197802197804,200,5,2,2,12.67096665756245,8.32903334243755,2.5,11.351351351351353,32.432432432432435,47.8021978021978
835f0f7810c76831d6c7d24c7a646d4d,40,11,0.275,31,0.775,40,11,0.275,42,1,0,0,2.7396684664999893,8.260331533500011,2.380952380952381,27.500000000000004,77.5,27.500000000000004
431af27f296bc6519d890aa5a05fdb11,114,16,0.14035087719298245,30,0.2631578947368421,113,25,0.22123893805309736,115,2,0,0,7.80805512952497,8.19194487047503,1.7391304347826086,14.035087719298245,26.31578947368421,22.123893805309734
70a12e78e608ac31179aea7f8422044b,307,29,0.09446254071661238,53,0.17263843648208468,305,61,0.2,310,3,2,0,21.026955480387418,7.973044519612582,0.967741935483871,9.446254071661238,17.263843648208468,20.0
6973a06f484aacf400ece213dbf3d946,77,13,0.16883116883116883,23,0.2987012987012987,76,15,0.19736842105263158,82,2,1,0,5.273861798012479,7.726138201987521,2.4390243902439024,16.883116883116884,29.87012987012987,19.736842105263158
