intervention,relative_reduction_in_target_group_pct,fewer_late_orders,projected_overall_late_rate_pct,overall_late_rate_reduction_pp,illustrative_fewer_excess_low_reviews
Seller handover control,10.0,181.20000000000002,6.585259666217477,0.1878304136000819,96.3120197984853
Seller handover control,20.0,362.40000000000003,6.397429252617394,0.3756608272001652,192.6240395969706
Seller handover control,30.0,543.6,6.2095988390173105,0.5634912408002485,288.93605939545586
In-transit route control,10.0,470.8,6.285062713797035,0.4880273660205242,250.24116402387898
In-transit route control,20.0,941.6,5.797035347776511,0.9760547320410484,500.48232804775796
In-transit route control,30.0,1412.3999999999999,5.309007981755986,1.4640820980615725,750.7234920716369
