topic_family_en,written_review_orders,reviews_with_score,low_score_orders,review_prevalence_pct,low_score_rate_pct,median_word_count,informative_share_pct,passes_rules,selection_rank,selected_for_subtopics
Mixed order and fulfilment experience,12647,12647,8343,29.72966619652092,65.9682138056456,17.0,98.3948762552384,True,1.0,True
Other / unassigned,11408,11408,1396,26.81711330512459,12.23702664796634,7.0,67.83835904628332,False,,False
Delivery timing,7664,7664,438,18.015984955336155,5.715031315240084,8.0,95.32881002087683,True,2.0,True
Product experience,4183,4183,323,9.833098260460742,7.721730815204399,6.0,77.5759024623476,True,3.0,True
Generic positive or confirmation,3158,3158,77,7.423601316408086,2.4382520582647245,2.0,20.64597846738442,False,,False
"Store, seller and service experience",2343,2343,61,5.507757404795487,2.603499786598378,8.0,83.95219803670508,True,4.0,False
Product-specific feedback,1137,1137,309,2.67277856135402,27.176781002638524,10.0,65.08355321020228,True,5.0,False
