topic_family_en,written_review_orders,reviews_with_score,low_score_orders,review_prevalence_pct,low_score_rate_pct
Mixed order and fulfilment experience,12647,12647,8343,29.72966619652092,65.9682138056456
Other / unassigned,11408,11408,1396,26.81711330512459,12.23702664796634
Delivery timing,7664,7664,438,18.015984955336155,5.715031315240084
Product experience,4183,4183,323,9.833098260460742,7.721730815204399
Generic positive or confirmation,3158,3158,77,7.423601316408086,2.4382520582647245
"Store, seller and service experience",2343,2343,61,5.507757404795487,2.603499786598378
Product-specific feedback,1137,1137,309,2.67277856135402,27.176781002638524
